Titanic|movie,6.19569167174
Shrek|movie,5.77472148752
The Rock|movie,5.75633005924
The Walking Dead|movie,5.60420980172
Toy Story|movie,5.44345881655
Paul|movie,5.20128052044
The Lion King|movie,5.18672711104
The Godfather|movie,4.92895494924
Selena|movie,4.85575097108
The Shawshank Redemption|movie,4.83991717902
Inception|movie,4.83970184198
Finding Nemo|movie,4.83197653591
Fight Club|movie,4.82577125362
The Hangover|movie,4.74954093056
Pulp Fiction|movie,4.72686347639
The Dark Knight|movie,4.71244506305
Forrest Gump|movie,4.70482983071
Iron Man|movie,4.69819675196
Gladiator|movie,4.63474596058
Die Hard With a Vengeance|movie,4.59944329561
The Matrix|movie,4.591304282
Monsters\, Inc.|movie,4.56197594388
Twilight|movie,4.55162081413
WALL-E|movie,4.47837106243
The Notebook|movie,4.47225704545
The Dark Knight Rises|movie,4.44601313856
Despicable Me|movie,4.44398679046
GoodFellas|movie,4.43120930373
Tangled|movie,4.43109429399
The Godfather\, Part II|movie,4.39625682437
The Lord of the Rings: The Return of the King|movie,4.38390869219
Up|movie,4.38281844993
Spider-Man|movie,4.37743137913
Rambo|movie,4.36920107787
Rocky|movie,4.35592870228
Saving Private Ryan|movie,4.33732984815
The Lord of the Rings: The Fellowship of the Ring|movie,4.33576688938
The Silence of the Lambs|movie,4.33291273957
The Green Mile|movie,4.32441027972
Braveheart|movie,4.30067175801
The Karate Kid|movie,4.28670148172
The Lord of the Rings: The Two Towers|movie,4.27882167898
One Flew Over the Cuckoo's Nest|movie,4.27773843545
300|movie,4.27030087545
Back to the Future|movie,4.2690149354
Jurassic Park|movie,4.26383196267
The Departed|movie,4.25275295609
Ice Age|movie,4.25104887778
Batman Begins|movie,4.2476434566
The Usual Suspects|movie,4.23762214266
Ratatouille|movie,4.23528503042
Raiders of the Lost Ark|movie,4.20095437025
Kevin Hart: Laugh at My Pain|movie,4.18688968855
Eternal Sunshine of the Spotless Mind|movie,4.18068793966
The Incredibles|movie,4.18064407614
Reservoir Dogs|movie,4.17986667109
Inglourious Basterds|movie,4.17943315978
The Shining|movie,4.16098094118
Home Alone|movie,4.16084532254
The Prestige|movie,4.16073450044
V for Vendetta|movie,4.15710480564
Marvel's the Avengers|movie,4.15550249334
Batman|movie,4.1514444404
Terminator 2: Judgment Day|movie,4.15066191734
Die Hard|movie,4.1481528787
X-Men|movie,4.13007919295
Sherlock Holmes|movie,4.11580263093
Full Metal Jacket|movie,4.10261455562
The Terminator|movie,4.09916660192
Scarface|movie,4.09267759161
It's a Wonderful Life|movie,4.07164609588
Edward Scissorhands|movie,4.07014302402
Toy Story 3|movie,4.06674821012
Good Will Hunting|movie,4.06559653555
The Big Lebowski|movie,4.06034484733
Shutter Island|movie,4.04583857701
The Sixth Sense|movie,4.04497779236
Gran Torino|movie,4.04189530393
Taken|movie,4.04065520759
Scary Movie|movie,4.03798285864
Daredevil|movie,4.03026467352
Star Trek|movie,4.02454234928
Indiana Jones and the Last Crusade|movie,4.02380516682
Slumdog Millionaire|movie,4.01624940823
Casino|movie,4.01256030449
Heat|movie,4.00676859104
Fargo|movie,3.99945371142
Sin City|movie,3.99542084826
No Country for Old Men|movie,3.9916540151
The Game|movie,3.98619501203
The Nightmare Before Christmas|movie,3.97883659109
The Blind Side|movie,3.97334654441
The Truman Show|movie,3.97237708236
Ray|movie,3.97145967678
Superbad|movie,3.9668699377
Pirates of the Caribbean: The Curse of the Black Pearl|movie,3.96611087868
How to Train Your Dragon|movie,3.96288504632
Thor|movie,3.95950950067
The Wizard of Oz|movie,3.95833837185
Kill Bill: Vol. 1|movie,3.95718708739
Hannibal|movie,3.9560859884
A Walk to Remember|movie,3.95554198645
The Princess Bride|movie,3.94302789859
District 9|movie,3.93384691794
Harry Potter and the Deathly Hallows: Part 2|movie,3.92557605622
Unforgiven|movie,3.92373344853
Casino Royale|movie,3.91677577814
Catch Me if You Can|movie,3.9165770753
Once Upon a Time|movie,3.91648758995
The Bourne Ultimatum|movie,3.91429839431
Shaun of the Dead|movie,3.9123266209
Groundhog Day|movie,3.91178879774
The One|movie,3.90449312295
Blood Diamond|movie,3.8955244345
Jaws|movie,3.89100639153
The Pursuit of Happyness|movie,3.88549345265
Bolt|movie,3.88181815019
Avatar|movie,3.88121777783
The Exorcist|movie,3.88019174762
The Little Mermaid|movie,3.8767525129
Kill Bill: Vol. 2|movie,3.87302937457
(500) Days of Summer|movie,3.86902698982
Dirty Dancing|movie,3.86842202307
Platoon|movie,3.86767207181
Rain Man|movie,3.86287069978
Stand by Me|movie,3.85646530777
Zombieland|movie,3.85532480839
Life of Pi|movie,3.8520659264
The Hobbit: An Unexpected Journey|movie,3.84991938461
I Am Legend|movie,3.84930868379
The Help|movie,3.84748634126
Hot Fuzz|movie,3.83585559696
The Curious Case of Benjamin Button|movie,3.83542680463
Men in Black|movie,3.83461711366
The Social Network|movie,3.83436813407
Mystic River|movie,3.82920500187
The Breakfast Club|movie,3.8200829481
The Incredible Hulk|movie,3.81873484736
Wreck-It Ralph|movie,3.81832655738
Megamind|movie,3.81647007765
Little Miss Sunshine|movie,3.8145884603
I\, Robot|movie,3.80923592598
Paranormal Activity|movie,3.80390606992
Ocean's Eleven|movie,3.80234209221
American Gangster|movie,3.80091474637
The Bourne Identity|movie,3.79529905111
Toy Story 2|movie,3.78738269947
Crash|movie,3.78465823326
Predator|movie,3.78347011685
The Hunger Games|movie,3.78291862941
E.T. the Extra-Terrestrial|movie,3.78108421051
Skyfall|movie,3.77880280971
X-Men: First Class|movie,3.77836182482
The Bourne Supremacy|movie,3.76253280901
Ferris Bueller's Day Off|movie,3.7604463108
Serenity|movie,3.75651646942
Ted|movie,3.75427767057
Black Hawk Down|movie,3.75375217427
Cast Away|movie,3.74944553553
The Last Samurai|movie,3.74850461132
The Fighter|movie,3.74377738861
The Untouchables|movie,3.74015565044
Harry Potter and the Prisoner of Azkaban|movie,3.73953873143
Back to the Future Part II|movie,3.73467466774
Ip Man|movie,3.73124553905
Mulan|movie,3.72859984456
Training Day|movie,3.7283446515
Star Wars: Episode III -- Revenge of the Sith|movie,3.72660067306
Step Up|movie,3.72426069989
The Goonies|movie,3.71987623343
The Sound of Music|movie,3.71974901129
Troy|movie,3.71909659519
Kick-Ass|movie,3.71562311436
American Pie|movie,3.7035805149
The Fifth Element|movie,3.70318904296
Crouching Tiger\, Hidden Dragon|movie,3.6933709823
Love Actually|movie,3.68952518769
Scott Pilgrim vs. the World|movie,3.68777776061
Man on Fire|movie,3.6800187972
Watchmen|movie,3.67852154435
Point Break|movie,3.67646669445
Seven Pounds|movie,3.67455205273
Cinderella|movie,3.67314326163
Coraline|movie,3.66899030055
Harry Potter and the Deathly Hallows: Part 1|movie,3.66893243875
Donnie Brasco|movie,3.66454073407
Office Space|movie,3.66167942295
The Hurt Locker|movie,3.66027155646
Rise of the Planet of the Apes|movie,3.66010848323
Step Brothers|movie,3.65458948175
Walk the Line|movie,3.65245371706
28 Days Later|movie,3.65149673685
As Good as It Gets|movie,3.65077291147
Halloween|movie,3.64896886601
Harry Potter and the Goblet of Fire|movie,3.64841543624
Dumb & Dumber|movie,3.64689047653
O Brother\, Where Art Thou?|movie,3.64557502785
King Kong|movie,3.64520186777
The Fugitive|movie,3.64490845826
Looper|movie,3.64154819214
Hanna|movie,3.63847623868
Interview With the Vampire|movie,3.63795077652
Harry Potter and the Sorcerer's Stone|movie,3.63377924437
The Town|movie,3.63307092621
Remember the Titans|movie,3.6315625848
Grease|movie,3.63010554037
Indiana Jones and the Temple of Doom|movie,3.62378638803
True Grit|movie,3.62289853533
Moneyball|movie,3.62195612718
Juno|movie,3.620156271
Harry Potter and the Half-Blood Prince|movie,3.61424693509
Pride & Prejudice|movie,3.61404585954
