The Simpsons|tv,6.66396029572
South Park|tv,5.78044134453
Family Guy|tv,5.74135834549
The Walking Dead|tv,5.38117151702
The Big Bang Theory|tv,5.28913044971
Game of Thrones|tv,5.24230757693
Breaking Bad|tv,5.04984325217
Friends|tv,5.03400513695
How I Met Your Mother|tv,4.89818063883
Futurama|tv,4.89541464426
Dexter|tv,4.7896842888
Sherlock|tv,4.65597463382
Supernatural|tv,4.62177661725
The Vampire Diaries|tv,4.53504852801
Prison Break|tv,4.42890778406
The Office|tv,4.39906046174
Two and a Half Men|tv,4.34369082115
Scrubs|tv,4.34051266368
Modern Family|tv,4.30576155184
Grey's Anatomy|tv,4.29980833309
House of Cards|tv,4.29943016199
The Sopranos|tv,4.29347556451
Sons of Anarchy|tv,4.26647209063
Arrested Development|tv,4.2299390022
Seinfeld|tv,4.21567636205
American Horror Story|tv,4.21395883487
American History TV|tv,4.20713493015
Avatar: The Last Airbender|tv,4.20591530621
House|tv,4.20251500165
Top Gear|tv,4.19170735809
Firefly|tv,4.16912705377
Suits|tv,4.14573830991
Criminal Minds|tv,4.13108563752
Doctor Who|tv,4.12591753594
True Blood|tv,4.11057485978
Arrow|tv,4.10254651018
Lost|tv,4.06816981077
Batman|tv,4.06407376826
NCIS|tv,4.04087472314
America's Test Kitchen From Cook's Illustrated|tv,4.0399667926
Fringe|tv,4.02992791998
It's Always Sunny in Philadelphia|tv,4.02612434315
Planet Earth|tv,4.01970215477
Vikings|tv,4.00391932203
Star Trek|tv,4.00103406256
24|tv,3.99550474249
Mad Men|tv,3.9888081726
Homeland|tv,3.97799149876
Pretty Little Liars|tv,3.94617416774
Hannibal|tv,3.94365657793
Bones|tv,3.94262469574
Adventure Time|tv,3.938966079
The Game|tv,3.93754505248
Finding Bigfoot: Further Evidence|tv,3.89748775786
Boardwalk Empire|tv,3.8967515643
Once Upon a Time|tv,3.87476772429
The Fresh Prince of Bel-Air|tv,3.8603584057
Community|tv,3.85489834222
Downton Abbey|tv,3.85339989719
American Dad|tv,3.83722108682
Glee|tv,3.83134806023
The Mentalist|tv,3.83012942079
Jackass|tv,3.81764692222
Parks and Recreation|tv,3.81576638034
American Horror Story: Coven|tv,3.81548876373
Castle|tv,3.81521379908
American Horror Story: Asylum|tv,3.81494925187
Chuck|tv,3.79791963694
Person of Interest|tv,3.77243924981
Masterpiece Classic|tv,3.76862462055
no tv listing,Ancient Aliens|tv,3.76843623225
Archer|tv,3.7574829178
Gossip Girl|tv,3.7541912011
Property Brothers: Buying & Selling|tv,3.75183631199
Shameless|tv,3.73919560022
Heroes|tv,3.72848303142
Shameless USA|tv,3.67950278084
Top Chef: Seattle|tv,3.67543340141
Psych|tv,3.67483691173
Weeds|tv,3.66539444895
The Originals|tv,3.66000631665
That '70s Show|tv,3.64970758495
White Collar|tv,3.6456488906
New Girl|tv,3.63323503868
Buffy the Vampire Slayer|tv,3.62870905933
Desperate Housewives|tv,3.62794160822
Revenge|tv,3.61464742591
The Newsroom|tv,3.61077294818
30 Rock|tv,3.60790252304
The Insider|tv,3.59468058911
60 Minutes|tv,3.58536026694
The Blacklist|tv,3.58532564534
Curb Your Enthusiasm|tv,3.57654656503
The Legend of Korra|tv,3.55298225961
Star Trek: The Next Generation|tv,3.55094889415
Batman: The Animated Series|tv,3.54745773292
Lie to Me|tv,3.53850508445
Justified|tv,3.52340809357
CSI: Crime Scene Investigation|tv,3.52220878584
Teen Wolf|tv,3.52062467722
Malcolm in the Middle|tv,3.51717356326
Smallville|tv,3.51410018869
Face Off|tv,3.50331827399
Sex and the City|tv,3.47556774659
Malcolm|tv,3.46847589972
Louie|tv,3.46480516787
Capitol Hill Hearings|tv,3.45988061123
Law & Order: Special Victims Unit|tv,3.45822983589
Stargate SG-1|tv,3.44624530668
MythBusters|tv,3.43888500055
Dracula|tv,3.43553756714
iCarly|tv,3.42745323488
Grimm|tv,3.39636211195
The Killing|tv,3.3826563031
The Twilight Zone|tv,3.37510646949
Fullmetal Alchemist Brotherhood|tv,3.37436453954
Angel|tv,3.3622038271
My Name Is Earl|tv,3.35776074981
Marvel's Agents of S.H.I.E.L.D.|tv,3.3573671945
Burn Notice|tv,3.35240181667
Bonnie & Clyde|tv,3.34988956938
Naruto|tv,3.3419793714
One Tree Hill|tv,3.33871152515
Gilmore Girls|tv,3.33607006477
Elementary|tv,3.30512123513
Brooklyn Nine-Nine|tv,3.30288585622
Ghost Hunters|tv,3.28652221199
Friday Night Lights|tv,3.285811448
The Daily Show|tv,3.27817597124
Tom & Jerry|tv,3.27369506382
Bates Motel|tv,3.27127399903
SpongeBob SquarePants|tv,3.26376713476
The Good Wife|tv,3.24914283614
The A-Team|tv,3.24222159522
Frasier|tv,3.23432746394
The Following|tv,3.23315423284
Scandal|tv,3.21873821806
CSI: Miami|tv,3.21644808375
Stargate Atlantis|tv,3.19767052243
Man vs. Wild|tv,3.18208245278
Merlin|tv,3.18160856786
Chappelle's Show|tv,3.17769836103
M*A*S*H|tv,3.17152784667
Monk|tv,3.16922681603
The King of Queens|tv,3.16658917548
Eastbound & Down|tv,3.16096390887
Falling Skies|tv,3.14974510129
Saturday Night Live|tv,3.14913364478
Ray Donovan|tv,3.14633293611
The Americans|tv,3.14618937055
Workaholics|tv,3.11311725784
Nip/Tuck|tv,3.10452282074
The League|tv,3.09644359228
The Daily Show With Jon Stewart|tv,3.0952870768
Hell on Wheels|tv,3.09503764333
Almost Human|tv,3.09028790175
Sleepy Hollow|tv,3.06802799527
Drake & Josh|tv,3.06370107332
60 Minutes on CNBC|tv,3.05056745788
Continuum|tv,3.04931151446
Whose Line Is It Anyway?|tv,3.04466727016
Bleach|tv,3.03449569216
The Colbert Report|tv,3.03014936683
Nikita|tv,3.01999692737
2 Broke Girls|tv,3.01351394533
Bob's Burgers|tv,3.00773940314
Eureka|tv,3.00739977371
Hawaii Five-0|tv,3.00632619291
CSI: NY|tv,3.00266415448
Under the Dome|tv,3.0006260103
Wilfred|tv,2.9865249066
Romanian Programming|tv,2.97947899173
Charmed|tv,2.97404239118
Leverage|tv,2.96431236467
Stargate Universe|tv,2.95250824904
Rugrats|tv,2.94942777889
Boy Meets World|tv,2.94779435554
Terra Nova|tv,2.93824143422
Star Trek: Voyager|tv,2.93568749476
Awkward.|tv,2.92978795891
Revolution|tv,2.92960573746
The Wonder Years|tv,2.9239336104
Everybody Loves Raymond|tv,2.92351599396
Hart of Dixie|tv,2.91933233741
Raising Hope|tv,2.91769674679
Cheers|tv,2.90753043742
Warehouse 13|tv,2.89502026404
Farscape|tv,2.88961456427
Robot Chicken|tv,2.88662868146
The Secret Circle|tv,2.8857654676
no tv listing,King of the Hill|tv,2.88281214002
no tv listing,Chopped|tv,2.88281214002
The Bridge|tv,2.87698127194
Entourage|tv,2.87588728817
On Demand|tv,2.86964544918
Dexter's Laboratory|tv,2.8671170633
48 Hours|tv,2.86666459801
Touch|tv,2.85718810273
Everybody Hates Chris|tv,2.85203000371
Regular Show|tv,2.83312222501
The Boondocks|tv,2.82539555532
Happy Endings|tv,2.82471530744
Courage the Cowardly Dog|tv,2.81782058601
